Athlete,NOC,Discipline,Event,Medal,Edition
"RODEWALD, Marion",GER,Hockey,hockey,Gold,2004
"WALTER, Louisa",GER,Hockey,hockey,Gold,2004
"ZWEHL, Julia",GER,Hockey,hockey,Gold,2004
"BOOIJ, Minke",NED,Hockey,hockey,Silver,2004
"DE BRUIJN, Chantal",NED,Hockey,hockey,Silver,2004
"DE ROEVER, Lisanne",NED,Hockey,hockey,Silver,2004
"DONNERS, Mijntje",NED,Hockey,hockey,Silver,2004
"KARRES, Sylvia",NED,Hockey,hockey,Silver,2004
"MOREIRA DE MELO, Fatima",NED,Hockey,hockey,Silver,2004
"MULDER, Eefke",NED,Hockey,hockey,Silver,2004
"SCHEEPSTRA, Maartje",NED,Hockey,hockey,Silver,2004
"SCHOPMAN, Janneke",NED,Hockey,hockey,Silver,2004
"SINNIGE, Clarinda",NED,Hockey,hockey,Silver,2004
"SMABERS, Minke",NED,Hockey,hockey,Silver,2004
"SNOEKS, Jiske",NED,Hockey,hockey,Silver,2004
"VAN DER VAART, Macha",NED,Hockey,hockey,Silver,2004
"VAN GEENHUIZEN, Miek",NED,Hockey,hockey,Silver,2004
"VAN KESSEL, Lieve",NED,Hockey,hockey,Silver,2004
"GAO, Feng",CHN,Judo,- 48 kg,Bronze,2004
"MATIJASS, Julia",GER,Judo,- 48 kg,Bronze,2004
"TANI, Ryoko",JPN,Judo,- 48 kg,Gold,2004
"JOSSINET, Frederique",FRA,Judo,- 48 kg,Silver,2004
"CHOI, Min Ho",KOR,Judo,- 60 kg,Bronze,2004
"TSAGAANBAATAR, Khashbaatar",MGL,Judo,- 60 kg,Bronze,2004
"NOMURA, Tadahiro",JPN,Judo,- 60 kg,Gold,2004
"KHERGIANI, Nestor",GEO,Judo,- 60 kg,Silver,2004
"PERTELSON, Indrek",EST,Judo,+ 100kg (heavyweight),Bronze,2004
"VAN DER GEEST, Dennis",NED,Judo,+ 100kg (heavyweight),Bronze,2004
"SUZUKI, Keiji",JPN,Judo,+ 100kg (heavyweight),Gold,2004
"TMENOV, Tamerlan",RUS,Judo,+ 100kg (heavyweight),Silver,2004
"DONGUZASHVILI, Tea",RUS,Judo,+ 78kg (heavyweight),Bronze,2004
"SUN, Fuming",CHN,Judo,+ 78kg (heavyweight),Bronze,2004
"TSUKADA, Maki",JPN,Judo,+ 78kg (heavyweight),Gold,2004
"BELTRAN, Daima Mayelis",CUB,Judo,+ 78kg (heavyweight),Silver,2004
"HEYLEN, Ilse",BEL,Judo,48 - 52kg (half-lightweight),Bronze,2004
"SAVON, Amarilys",CUB,Judo,48 - 52kg (half-lightweight),Bronze,2004
"XIAN, Dongmei",CHN,Judo,48 - 52kg (half-lightweight),Gold,2004
"YOKOSAWA, Yuki",JPN,Judo,48 - 52kg (half-lightweight),Silver,2004
"GRAVENSTIJN, Deborah",NED,Judo,52 - 57kg (lightweight),Bronze,2004
"LUPETEY, Yurisleidy",CUB,Judo,52 - 57kg (lightweight),Bronze,2004
"BOENISCH, Yvonne",GER,Judo,52 - 57kg (lightweight),Gold,2004
"KYE, Sun Hui",PRK,Judo,52 - 57kg (lightweight),Silver,2004
"GONZALEZ, Driulys",CUB,Judo,57 - 63kg (half-middleweight),Bronze,2004
"ZOLNIR, Urska",SLO,Judo,57 - 63kg (half-middleweight),Bronze,2004
"TANIMOTO, Ayumi",JPN,Judo,57 - 63kg (half-middleweight),Gold,2004
"HEILL, Claudia",AUT,Judo,57 - 63kg (half-middleweight),Silver,2004
"ARENCIBIA, Yordanis",CUB,Judo,60 - 66kg (half-lightweight),Bronze,2004
"GEORGIEV, Georgi",BUL,Judo,60 - 66kg (half-lightweight),Bronze,2004
"UCHISHIBA, Masato",JPN,Judo,60 - 66kg (half-lightweight),Gold,2004
"KRNAC, Jozef",SVK,Judo,60 - 66kg (half-lightweight),Silver,2004
"BOEHM, Annett",GER,Judo,63 - 70kg (middleweight),Bronze,2004
"QIN, Dongya",CHN,Judo,63 - 70kg (middleweight),Bronze,2004
"UENO, Masae",JPN,Judo,63 - 70kg (middleweight),Gold,2004
"BOSCH, Edith",NED,Judo,63 - 70kg (middleweight),Silver,2004
"GUILHEIRO, Leandro",BRA,Judo,66 - 73kg (lightweight),Bronze,2004
"PEDRO, James",USA,Judo,66 - 73kg (lightweight),Bronze,2004
"LEE, Won Hee",KOR,Judo,66 - 73kg (lightweight),Gold,2004
"MAKAROV, Vitaliy",RUS,Judo,66 - 73kg (lightweight),Silver,2004
"LABORDE, Yurisel",CUB,Judo,70 - 78kg (half-heavyweight),Bronze,2004
"MORICO, Lucia",ITA,Judo,70 - 78kg (half-heavyweight),Bronze,2004
"ANNO, Noriko",JPN,Judo,70 - 78kg (half-heavyweight),Gold,2004
"LIU, Xia",CHN,Judo,70 - 78kg (half-heavyweight),Silver,2004
"CANTO, Flavio",BRA,Judo,73 - 81kg (half-middleweight),Bronze,2004
"NOSSOV, Dmitri",RUS,Judo,73 - 81kg (half-middleweight),Bronze,2004
"ILIADIS, Ilias",GRE,Judo,73 - 81kg (half-middleweight),Gold,2004
"GONTIUK, Roman",UKR,Judo,73 - 81kg (half-middleweight),Silver,2004
"HUIZINGA, Mark",NED,Judo,81 - 90kg (middleweight),Bronze,2004
"TAOV, Khasanbi",RUS,Judo,81 - 90kg (middleweight),Bronze,2004
"ZVIADAURI, Zurab",GEO,Judo,81 - 90kg (middleweight),Gold,2004
"IZUMI, Hiroshi",JPN,Judo,81 - 90kg (middleweight),Silver,2004
"JURACK, Michael",GER,Judo,90 - 100kg (half-heavyweight),Bronze,2004
"ZEEVI, Ariel",ISR,Judo,90 - 100kg (half-heavyweight),Bronze,2004
"MAKARAU, Ihar",BLR,Judo,90 - 100kg (half-heavyweight),Gold,2004
"JANG, Sung Ho",KOR,Judo,90 - 100kg (half-heavyweight),Silver,2004
"CAPALINI, Libor",CZE,Modern Pentath.,Individual competition,Bronze,2004
"MOISEEV, Andrey",RUS,Modern Pentath.,Individual competition,Gold,2004
"ZADNEPROVSKIS, Andrejus",LTU,Modern Pentath.,Individual competition,Silver,2004
"HARLAND, Georgina",GBR,Modern Pentath.,Individual competition,Bronze,2004
"VOROS, Zsuzsanna",HUN,Modern Pentath.,Individual competition,Gold,2004
"RUBLEVSKA, Elena",LAT,Modern Pentath.,Individual competition,Silver,2004
"CECH, Donovan",RSA,Rowing,coxless pair (2-),Bronze,2004
"DI CLEMENTE, Ramon",RSA,Rowing,coxless pair (2-),Bronze,2004
"GINN, Drew",AUS,Rowing,coxless pair (2-),Gold,2004
"TOMKINS, James",AUS,Rowing,coxless pair (2-),Gold,2004
"SKELIN, Niksa",CRO,Rowing,coxless pair (2-),Silver,2004
"SKELIN, Sinisa",CRO,Rowing,coxless pair (2-),Silver,2004
"GALTAROSSA, Rossano",ITA,Rowing,double sculls (2x),Bronze,2004
"SARTORI, Alessio",ITA,Rowing,double sculls (2x),Bronze,2004
"HARDY, Adrien",FRA,Rowing,double sculls (2x),Gold,2004
"VIEILLEDENT, Sebastien",FRA,Rowing,double sculls (2x),Gold,2004
"COP, Iztok",SLO,Rowing,double sculls (2x),Silver,2004
"SPIK, Luka",SLO,Rowing,double sculls (2x),Silver,2004
"LAVERICK, Elise",GBR,Rowing,double sculls (2x),Bronze,2004
"WINCKLESS, Sarah",GBR,Rowing,double sculls (2x),Bronze,2004
"EVERS-SWINDELL, Caroline",NZL,Rowing,double sculls (2x),Gold,2004
"EVERS-SWINDELL, Georgina",NZL,Rowing,double sculls (2x),Gold,2004
"OPPELT, Britta",GER,Rowing,double sculls (2x),Silver,2004
"WALESKA, Peggy",GER,Rowing,double sculls (2x),Silver,2004
"HANSON, Boden Joseph",AUS,Rowing,eight with coxswain (8+),Bronze,2004
"MCKAY, Mike",AUS,Rowing,eight with coxswain (8+),Bronze,2004
"RESIDE, Stuart",AUS,Rowing,eight with coxswain (8+),Bronze,2004
"STEWART, Geoff",AUS,Rowing,eight with coxswain (8+),Bronze,2004
"STEWART, James",AUS,Rowing,eight with coxswain (8+),Bronze,2004
"STEWART, Steve",AUS,Rowing,eight with coxswain (8+),Bronze,2004
"SZCZUROWSKI, Stefan",AUS,Rowing,eight with coxswain (8+),Bronze,2004
"TOON, Michael",AUS,Rowing,eight with coxswain (8+),Bronze,2004
"WELCH, Stuart",AUS,Rowing,eight with coxswain (8+),Bronze,2004
"AHRENS, Chris",USA,Rowing,eight with coxswain (8+),Gold,2004
"ALLEN, Wyatt",USA,Rowing,eight with coxswain (8+),Gold,2004
"BEERY, Dan",USA,Rowing,eight with coxswain (8+),Gold,2004
"CIPOLLONE, Pete",USA,Rowing,eight with coxswain (8+),Gold,2004
"DEAKIN, Matt",USA,Rowing,eight with coxswain (8+),Gold,2004
"HANSEN, Joseph",USA,Rowing,eight with coxswain (8+),Gold,2004
"HOOPMAN, Beau",USA,Rowing,eight with coxswain (8+),Gold,2004
"READ, Jason",USA,Rowing,eight with coxswain (8+),Gold,2004
"VOLPENHEIN, Bryan",USA,Rowing,eight with coxswain (8+),Gold,2004
"BARTMAN, Michiel",NED,Rowing,eight with coxswain (8+),Silver,2004
"CHEUNG, Chun Wei",NED,Rowing,eight with coxswain (8+),Silver,2004
"DERKSEN, Geert Jan",NED,Rowing,eight with coxswain (8+),Silver,2004
"EGGENKAMP, Gerritjan",NED,Rowing,eight with coxswain (8+),Silver,2004
"GABRIELS, Jan-Willem",NED,Rowing,eight with coxswain (8+),Silver,2004
"MENSCH, Daniel",NED,Rowing,eight with coxswain (8+),Silver,2004
"SIMON, Diederik",NED,Rowing,eight with coxswain (8+),Silver,2004
"VELLENGA, Matthijs",NED,Rowing,eight with coxswain (8+),Silver,2004
"VERMEULEN, Gijs",NED,Rowing,eight with coxswain (8+),Silver,2004
"DE HAAN, Annemiek",NED,Rowing,eight with coxswain (8+),Bronze,2004
"DEKKERS, Hurnet",NED,Rowing,eight with coxswain (8+),Bronze,2004
"HOMMES, Nienke",NED,Rowing,eight with coxswain (8+),Bronze,2004
"SIEGELAAR, Sarah",NED,Rowing,eight with coxswain (8+),Bronze,2004
"SMULDERS, Marlies",NED,Rowing,eight with coxswain (8+),Bronze,2004
"TANGER, Helen",NED,Rowing,eight with coxswain (8+),Bronze,2004
"VAN RUMPT, Annemarieke",NED,Rowing,eight with coxswain (8+),Bronze,2004
"WEGMAN, Froukje",NED,Rowing,eight with coxswain (8+),Bronze,2004
"WORKEL, Ester",NED,Rowing,eight with coxswain (8+),Bronze,2004
"ANDRUNACHE, Georgeta",ROU,Rowing,eight with coxswain (8+),Gold,2004
"BARASCU, Aurica",ROU,Rowing,eight with coxswain (8+),Gold,2004
"FLOREA, Rodica",ROU,Rowing,eight with coxswain (8+),Gold,2004
"GAFENCU, Liliana",ROU,Rowing,eight with coxswain (8+),Gold,2004
"GEORGESCU, Elena",ROU,Rowing,eight with coxswain (8+),Gold,2004
"IGNAT, Doina",ROU,Rowing,eight with coxswain (8+),Gold,2004
"LIPA, Elisabeta",ROU,Rowing,eight with coxswain (8+),Gold,2004
"PAPUC, Ioana",ROU,Rowing,eight with coxswain (8+),Gold,2004
"SUSANU, Viorica",ROU,Rowing,eight with coxswain (8+),Gold,2004
"COX, Alison",USA,Rowing,eight with coxswain (8+),Silver,2004
"DAVIES, Caryn",USA,Rowing,eight with coxswain (8+),Silver,2004
"DIRKMAAT, Megan",USA,Rowing,eight with coxswain (8+),Silver,2004
"JOHNSON, Kate",USA,Rowing,eight with coxswain (8+),Silver,2004
"KORHOLZ, Laurel",USA,Rowing,eight with coxswain (8+),Silver,2004
"MAGEE, Samantha",USA,Rowing,eight with coxswain (8+),Silver,2004
"MICKELSON, Anna",USA,Rowing,eight with coxswain (8+),Silver,2004
"NELSON, Lianne",USA,Rowing,eight with coxswain (8+),Silver,2004
"WHIPPLE, Mary",USA,Rowing,eight with coxswain (8+),Silver,2004
"AGAMENNONI, Luca",ITA,Rowing,four without coxswain (4-),Bronze,2004
"DENTALE, Dario",ITA,Rowing,four without coxswain (4-),Bronze,2004
"LEONARDO, Raffaello",ITA,Rowing,four without coxswain (4-),Bronze,2004
"PORZIO, Lorenzo",ITA,Rowing,four without coxswain (4-),Bronze,2004
"COODE, Ed",GBR,Rowing,four without coxswain (4-),Gold,2004
"CRACKNELL, James",GBR,Rowing,four without coxswain (4-),Gold,2004
"PINSENT, Matthew",GBR,Rowing,four without coxswain (4-),Gold,2004
"WILLIAMS, Steve",GBR,Rowing,four without coxswain (4-),Gold,2004
"BAERG, Cameron",CAN,Rowing,four without coxswain (4-),Silver,2004
"HERSCHMILLER, Thomas",CAN,Rowing,four without coxswain (4-),Silver,2004
"WETZEL, Jake",CAN,Rowing,four without coxswain (4-),Silver,2004
"WILLIAMS, Barney",CAN,Rowing,four without coxswain (4-),Silver,2004
"AMARANTE, Catello",ITA,Rowing,lightweight coxless four (4-),Bronze,2004
"AMITRANO, Salvatore",ITA,Rowing,lightweight coxless four (4-),Bronze,2004
"BERTINI, Lorenzo",ITA,Rowing,lightweight coxless four (4-),Bronze,2004
"MASCARENHAS, Bruno",ITA,Rowing,lightweight coxless four (4-),Bronze,2004
"EBBESEN, Eskild Balschmidt",DEN,Rowing,lightweight coxless four (4-),Gold,2004
"EBERT, Thomas",DEN,Rowing,lightweight coxless four (4-),Gold,2004
"KRISTENSEN, Thor",DEN,Rowing,lightweight coxless four (4-),Gold,2004
"MOELVIG, Stephan",DEN,Rowing,lightweight coxless four (4-),Gold,2004
"BURGESS, Simon",AUS,Rowing,lightweight coxless four (4-),Silver,2004
"CURETON, Ben",AUS,Rowing,lightweight coxless four (4-),Silver,2004
"EDWARDS, Anthony",AUS,Rowing,lightweight coxless four (4-),Silver,2004
"LOFTUS, Glen",AUS,Rowing,lightweight coxless four (4-),Silver,2004
"POLYMEROS, Vasileios",GRE,Rowing,lightweight double sculls (2x),Bronze,2004
"SKIATHITIS, Nikolaos",GRE,Rowing,lightweight double sculls (2x),Bronze,2004
"KUCHARSKI, Tomasz",POL,Rowing,lightweight double sculls (2x),Gold,2004
"SYCZ, Robert",POL,Rowing,lightweight double sculls (2x),Gold,2004
"DUFOUR, Frederic",FRA,Rowing,lightweight double sculls (2x),Silver,2004
"TOURON, Pascal",FRA,Rowing,lightweight double sculls (2x),Silver,2004
"VAN DER KOLK, Kirsten",NED,Rowing,lightweight double sculls (2x),Bronze,2004
"VAN EUPEN, Marit",NED,Rowing,lightweight double sculls (2x),Bronze,2004
"ALUPEI, Angela",ROU,Rowing,lightweight double sculls (2x),Gold,2004
"BURCICA, Constanta",ROU,Rowing,lightweight double sculls (2x),Gold,2004
"BLASBERG, Claudia",GER,Rowing,lightweight double sculls (2x),Silver,2004
"REIMER, Daniela",GER,Rowing,lightweight double sculls (2x),Silver,2004
"BICHYK, Yuliya",BLR,Rowing,pair without coxswain (2-),Bronze,2004
"HELAKH, Natallia",BLR,Rowing,pair without coxswain (2-),Bronze,2004
"ANDRUNACHE, Georgeta",ROU,Rowing,pair without coxswain (2-),Gold,2004
"SUSANU, Viorica",ROU,Rowing,pair without coxswain (2-),Gold,2004
"BISHOP, Cath",GBR,Rowing,pair without coxswain (2-),Silver,2004
"GRAINGER, Katherine",GBR,Rowing,pair without coxswain (2-),Silver,2004
"BILUSHCHENKO, Sergij",UKR,Rowing,quadruple sculls without coxswain (4x),Bronze,2004
"GRIN, Sergij",UKR,Rowing,quadruple sculls without coxswain (4x),Bronze,2004
"LYKOV, Oleg",UKR,Rowing,quadruple sculls without coxswain (4x),Bronze,2004
"SHAPOSHNIKOV, Leonid",UKR,Rowing,quadruple sculls without coxswain (4x),Bronze,2004
"FEDOROVTSEV, Sergey",RUS,Rowing,quadruple sculls without coxswain (4x),Gold,2004
"KRAVTSOV, Igor",RUS,Rowing,quadruple sculls without coxswain (4x),Gold,2004
"SPINEV, Nikolay",RUS,Rowing,quadruple sculls without coxswain (4x),Gold,2004
"SVIRIN, Alekseij",RUS,Rowing,quadruple sculls without coxswain (4x),Gold,2004
"HANAK, Jakub",CZE,Rowing,quadruple sculls without coxswain (4x),Silver,2004
"JIRKA, David",CZE,Rowing,quadruple sculls without coxswain (4x),Silver,2004
"KARAS, Tomas",CZE,Rowing,quadruple sculls without coxswain (4x),Silver,2004
"KOPRIVA, David",CZE,Rowing,quadruple sculls without coxswain (4x),Silver,2004
"BRADLEY, Amber",AUS,Rowing,quadruple sculls without coxswain (4x),Bronze,2004
"FALETIC, Dana",AUS,Rowing,quadruple sculls without coxswain (4x),Bronze,2004
"HORE, Kerry",AUS,Rowing,quadruple sculls without coxswain (4x),Bronze,2004
"SATTIN, Rebecca",AUS,Rowing,quadruple sculls without coxswain (4x),Bronze,2004
"BORON, Kathrin",GER,Rowing,quadruple sculls without coxswain (4x),Gold,2004
"EL QALQILI, Kerstin",GER,Rowing,quadruple sculls without coxswain (4x),Gold,2004
"EVERS, Meike",GER,Rowing,quadruple sculls without coxswain (4x),Gold,2004
"LUTZE, Manuela",GER,Rowing,quadruple sculls without coxswain (4x),Gold,2004
"FLOOD, Debbie",GBR,Rowing,quadruple sculls without coxswain (4x),Silver,2004
"HOUGHTON, Frances",GBR,Rowing,quadruple sculls without coxswain (4x),Silver,2004
"MOWBRAY, Alison",GBR,Rowing,quadruple sculls without coxswain (4x),Silver,2004
"ROMERO, Rebecca",GBR,Rowing,quadruple sculls without coxswain (4x),Silver,2004
"YANAKIEV, Ivo",BUL,Rowing,single sculls (1x),Bronze,2004
"TUFTE, Olaf",NOR,Rowing,single sculls (1x),Gold,2004
"JAANSON, Jueri",EST,Rowing,single sculls (1x),Silver,2004
"NEYKOVA, Rumyana",BUL,Rowing,single sculls (1x),Bronze,2004
"RUTSCHOW, Katrin",GER,Rowing,single sculls (1x),Gold,2004
"KARSTEN, Ekaterina",BLR,Rowing,single sculls (1x),Silver,2004
"SEKI, Kazuto",JPN,Sailing,470 - Two Person Dinghy,Bronze,2004
"TODOROKI, Kenjiro",JPN,Sailing,470 - Two Person Dinghy,Bronze,2004
"BURNHAM, Kevin",USA,Sailing,470 - Two Person Dinghy,Gold,2004
"FOERSTER, Paul",USA,Sailing,470 - Two Person Dinghy,Gold,2004
"GLANFIELD, Joe",GBR,Sailing,470 - Two Person Dinghy,Silver,2004
"ROGERS, Nick",GBR,Sailing,470 - Two Person Dinghy,Silver,2004
"TORGERSSON, Therese",SWE,Sailing,470 - Two Person Dinghy,Bronze,2004
"ZACHRISSON, Vendela",SWE,Sailing,470 - Two Person Dinghy,Bronze,2004
"BEKATOROU, Sofia",GRE,Sailing,470 - Two Person Dinghy,Gold,2004
"TSOULFA, Aimilia",GRE,Sailing,470 - Two Person Dinghy,Gold,2004
"AZON, Sandra",ESP,Sailing,470 - Two Person Dinghy,Silver,2004
"VIA DUFRESNE, Natalia",ESP,Sailing,470 - Two Person Dinghy,Silver,2004
"DRAPER, Chris",GBR,Sailing,49er - Skiff,Bronze,2004
"HISCOCKS, Simon",GBR,Sailing,49er - Skiff,Bronze,2004
"FERNANDEZ, Xavier",ESP,Sailing,49er - Skiff,Gold,2004
"MARTINEZ, Iker",ESP,Sailing,49er - Skiff,Gold,2004
"LEONCHUK, Georgii",UKR,Sailing,49er - Skiff,Silver,2004
"LUKA, Rodion",UKR,Sailing,49er - Skiff,Silver,2004
"DEMPSEY, Nick",GBR,Sailing,board (Mistral),Bronze,2004
"FRIDMAN, Gal",ISR,Sailing,board (Mistral),Gold,2004
"KAKLAMANAKIS, Nikolaos",GRE,Sailing,board (Mistral),Silver,2004
"SENSINI, Alessandra",ITA,Sailing,board (Mistral),Bronze,2004
"MERRET, Faustine",FRA,Sailing,board (Mistral),Gold,2004
"YIN, Jian",CHN,Sailing,board (Mistral),Silver,2004
"LIVBJERG, Signe",DEN,Sailing,single-handed dinghy (Europe),Bronze,2004
"SUNDBY, Siren",NOR,Sailing,single-handed dinghy (Europe),Gold,2004
"SMIDOVA, Lenka",CZE,Sailing,single-handed dinghy (Europe),Silver,2004
"KUSZNIEREWICZ, Mateusz",POL,Sailing,single-handed dinghy (Finn),Bronze,2004
"AINSLIE, Ben",GBR,Sailing,single-handed dinghy (Finn),Gold,2004
"TRUJILLO, Rafael",ESP,Sailing,single-handed dinghy (Finn),Silver,2004
"ZBOGAR, Vasilij",SLO,Sailing,single-handed dinghy open (Laser),Bronze,2004
"SCHEIDT, Robert",BRA,Sailing,single-handed dinghy open (Laser),Gold,2004
"GERITZER, Andreas",AUT,Sailing,single-handed dinghy open (Laser),Silver,2004
"RAMBEAU, Pascal",FRA,Sailing,Star - Keelboat,Bronze,2004
"ROHART, Xavier",FRA,Sailing,Star - Keelboat,Bronze,2004
"FERREIRA, Marcelo",BRA,Sailing,Star - Keelboat,Gold,2004
"GRAEL, Torben",BRA,Sailing,Star - Keelboat,Gold,2004
"MACDONALD, Ross",CAN,Sailing,Star - Keelboat,Silver,2004
"WOLFS, Mike",CAN,Sailing,Star - Keelboat,Silver,2004
"ESPINOLA, Carlos",ARG,Sailing,Tornado - Multihull,Bronze,2004
"LANGE, Santiago",ARG,Sailing,Tornado - Multihull,Bronze,2004
"HAGARA, Roman",AUT,Sailing,Tornado - Multihull,Gold,2004
"STEINACHER, Hans Peter",AUT,Sailing,Tornado - Multihull,Gold,2004
"LOVELL, John",USA,Sailing,Tornado - Multihull,Silver,2004
"OGLETREE, Charlie",USA,Sailing,Tornado - Multihull,Silver,2004
"JENSEN, Dorte O.",DEN,Sailing,Yngling - Keelboat,Bronze,2004
"JESPERSEN, Helle",DEN,Sailing,Yngling - Keelboat,Bronze,2004
"OTZEN, Christina",DEN,Sailing,Yngling - Keelboat,Bronze,2004
"AYTON, Sarah",GBR,Sailing,Yngling - Keelboat,Gold,2004
"ROBERTSON, Shirley",GBR,Sailing,Yngling - Keelboat,Gold,2004
"WEBB, Sarah",GBR,Sailing,Yngling - Keelboat,Gold,2004
"KALININA, Ganna",UKR,Sailing,Yngling - Keelboat,Silver,2004
"MATEVUSHEVA, Svitlana",UKR,Sailing,Yngling - Keelboat,Silver,2004
"TARAN, Ruslana",UKR,Sailing,Yngling - Keelboat,Silver,2004
"GROZDEVA, Maria",BUL,Shooting,10m air pistol (40 shots),Bronze,2004
"KOSTEVYCH, Olena",UKR,Shooting,10m air pistol (40 shots),Gold,2004
"SEKARIC, Jasna",SCG,Shooting,10m air pistol (40 shots),Silver,2004
"ISAKOV, Vladimir",RUS,Shooting,10m air pistol (60 shots),Bronze,2004
"WANG, Yifu",CHN,Shooting,10m air pistol (60 shots),Gold,2004
"NESTRUEV, Mikhail",RUS,Shooting,10m air pistol (60 shots),Silver,2004
"EMMONS, Katerina",CZE,Shooting,10m air rifle (40 shots),Bronze,2004
"DU, Li",CHN,Shooting,10m air rifle (40 shots),Gold,2004
"GALKINA, Lioubov",RUS,Shooting,10m air rifle (40 shots),Silver,2004
"GONCI, Jozef",SVK,Shooting,10m air rifle (60 shots),Bronze,2004
"ZHU, Qinan",CHN,Shooting,10m air rifle (60 shots),Gold,2004
"LI, Jie",CHN,Shooting,10m air rifle (60 shots),Silver,2004
"LYKIN, Dimitri",RUS,Shooting,10m running target (30+30 shots),Bronze,2004
"KURZER, Manfred",GER,Shooting,10m running target (30+30 shots),Gold,2004
"BLINOV, Alexander",RUS,Shooting,10m running target (30+30 shots),Silver,2004
"ASHUMOVA, Irada",AZE,Shooting,25m pistol (30+30 shots),Bronze,2004
"GROZDEVA, Maria",BUL,Shooting,25m pistol (30+30 shots),Gold,2004
"HYKOVA, Lenka",CZE,Shooting,25m pistol (30+30 shots),Silver,2004
"ALIFIRENKO, Sergei",RUS,Shooting,25m rapid fire pistol (60 shots),Bronze,2004
"SCHUMANN, Ralf",GER,Shooting,25m rapid fire pistol (60 shots),Gold,2004
"POLIAKOV, Sergei",RUS,Shooting,25m rapid fire pistol (60 shots),Silver,2004
"KIM, Jong Su",PRK,Shooting,50m pistol (60 shots),Bronze,2004
"NESTRUEV, Mikhail",RUS,Shooting,50m pistol (60 shots),Gold,2004
"JIN, Jongoh",KOR,Shooting,50m pistol (60 shots),Silver,2004
"WANG, Chengyi",CHN,Shooting,50m rifle 3 positions (3x20 shots),Bronze,2004
"GALKINA, Lioubov",RUS,Shooting,50m rifle 3 positions (3x20 shots),Gold,2004
"TURISINI, Valentina",ITA,Shooting,50m rifle 3 positions (3x20 shots),Silver,2004
"PLANER, Christian",AUT,Shooting,50m rifle 3 positions (3x40 shots),Bronze,2004
"JIA, Zhanbo",CHN,Shooting,50m rifle 3 positions (3x40 shots),Gold,2004
"ANTI, Michael",USA,Shooting,50m rifle 3 positions (3x40 shots),Silver,2004
"MARTYNOV, Sergei",BLR,Shooting,50m rifle prone (60 shots),Bronze,2004
"EMMONS, Matthew",USA,Shooting,50m rifle prone (60 shots),Gold,2004
"LUSCH, Christian",GER,Shooting,50m rifle prone (60 shots),Silver,2004
"GAO, E",CHN,Shooting,double trap (120 targets),Bronze,2004
"RHODE, Kimberly",USA,Shooting,double trap (120 targets),Gold,2004
"LEE, Bo Na",KOR,Shooting,double trap (120 targets),Silver,2004
"WANG, Zheng",CHN,Shooting,double trap (150 targets),Bronze,2004
"ALMAKTOUM, Shaikh Ahmed",UAE,Shooting,double trap (150 targets),Gold,2004
"RATHORE, Rajyavardhan S.",IND,Shooting,double trap (150 targets),Silver,2004
"RODRIGUEZ, Juan Miguel",CUB,Shooting,skeet (125 targets),Bronze,2004
"BENELLI, Andrea",ITA,Shooting,skeet (125 targets),Gold,2004
"KEMPPAINEN, Marko",FIN,Shooting,skeet (125 targets),Silver,2004
"MEFTAKHETDINOVA, Zemfira",AZE,Shooting,skeet (75 targets),Bronze,2004
"IGALY, Diana",HUN,Shooting,skeet (75 targets),Gold,2004
"WEI, Ning",CHN,Shooting,skeet (75 targets),Silver,2004
"VELLA, Adam",AUS,Shooting,trap (125 targets),Bronze,2004
"ALIPOV, Alexei",RUS,Shooting,trap (125 targets),Gold,2004
"PELLIELO, Giovanni",ITA,Shooting,trap (125 targets),Silver,2004
"LEE, Bo Na",KOR,Shooting,trap (75 targets),Bronze,2004
"BALOGH, Suzanne",AUS,Shooting,trap (75 targets),Gold,2004
"QUINTANAL, Maria",ESP,Shooting,trap (75 targets),Silver,2004
"INUI, Emi",JPN,Softball,softball,Bronze,2004
"ITO, Kazue",JPN,Softball,softball,Bronze,2004
"IWABUCHI, Yumi",JPN,Softball,softball,Bronze,2004
"MISHINA, Masumi",JPN,Softball,softball,Bronze,2004
"NAITO, Emi",JPN,Softball,softball,Bronze,2004
"SAITO, Haruka",JPN,Softball,softball,Bronze,2004
"SAKAI, Hiroko",JPN,Softball,softball,Bronze,2004
"SAKAMOTO, Naoko",JPN,Softball,softball,Bronze,2004
"SATO, Rie",JPN,Softball,softball,Bronze,2004
"SATO, Yuki",JPN,Softball,softball,Bronze,2004
"TAKAYAMA, Juri",JPN,Softball,softball,Bronze,2004
"UENO, Yukiko",JPN,Softball,softball,Bronze,2004
"UTSUGI, Reika",JPN,Softball,softball,Bronze,2004
"YAMADA, Eri",JPN,Softball,softball,Bronze,2004
"YAMAJI, Noriko",JPN,Softball,softball,Bronze,2004
"AMICO, Leah",USA,Softball,softball,Gold,2004
"BERG, Laura",USA,Softball,softball,Gold,2004
"BUSTOS, Crystl",USA,Softball,softball,Gold,2004
"FERNANDEZ, Lisa",USA,Softball,softball,Gold,2004
"FINCH, Jennie",USA,Softball,softball,Gold,2004
"FLOWERS, Tairia",USA,Softball,softball,Gold,2004
"FREED, Amanda",USA,Softball,softball,Gold,2004
"HARRIGAN, Lori",USA,Softball,softball,Gold,2004
"JUNG, Lovieanne",USA,Softball,softball,Gold,2004
"KRETSCHMAN, Kelly",USA,Softball,softball,Gold,2004
"MENDOZA, Jessica",USA,Softball,softball,Gold,2004
